French,English
chercher,search
seulement,only
pensais,thought
genre,kind
laisser,let
car,because
mettre,to put
aucun,no
laisse,leash
eux,them
ville,city
chaque,each
parlé,speak
arrivé,come
bébé,baby
vont,will
pendant,while
aucune,any
parle,speak
attention,Warning
pourrais,could
affaire,case
donner,give
train,train
yeux,eyes
façon,way
dont,whose
trouve,find
premier,first
main,hand
première,first
côté,side
sois,be
matin,morning
tellement,so much
enfant,child
point,point
venu,came
devant,in front of
chambre,bedroom
mis,placed
belle,beautiful
droit,law
aimerais,would like to
aujourd'hui,today
cause,cause
enfin,finally
espère,hope
eau,water
parti,left
nouvelle,new
boulot,job
arrêter,Stop
terre,Earth
donne,given
fin,end
croire,believe
plutôt,rather
aura,will have
filles,girls
jouer,to play
bureau,office
